tag-local-identifier,timestamp,location-lat,location-long
T8,2005-2-24 5:04:00,-24.44758911,31.76998901
T8,2005-2-24 6:04:00,-24.43965047,31.76291911
T8,2005-2-24 7:04:00,-24.45029093,31.7579305
T8,2005-2-24 8:04:00,-24.45220947,31.75946045
T8,2005-2-24 9:04:00,-24.45218913,31.75948079
T8,2005-2-24 10:04:00,-24.45218099,31.75939941
T8,2005-2-24 11:04:00,-24.44508057,31.76194051
T8,2005-2-24 12:05:00,-24.43966064,31.75432943
T8,2005-2-24 13:04:00,-24.43939006,31.75335083
T8,2005-2-24 14:04:00,-24.43939006,31.75342
T8,2005-2-24 15:04:00,-24.43945923,31.75356038
T8,2005-2-24 16:04:00,-24.43940023,31.75087077
T8,2005-2-24 17:04:00,-24.44082031,31.74972941
T8,2005-2-24 18:04:00,-24.44259033,31.74937948
T8,2005-2-24 19:04:00,-24.4426005,31.7490092
T8,2005-2-24 20:04:00,-24.44258016,31.74899902
T8,2005-2-24 21:04:00,-24.44262085,31.74901937
T8,2005-2-24 22:04:00,-24.43840942,31.74508057
T8,2005-2-24 23:04:00,-24.43927002,31.74421997
T8,2005-2-25 0:04:00,-24.43862101,31.7418396
T8,2005-2-25 1:04:00,-24.43842977,31.74147949
T8,2005-2-25 2:04:00,-24.43848063,31.74145915
T8,2005-2-25 3:04:00,-24.43907064,31.74148966
T8,2005-2-25 4:04:00,-24.43909098,31.74148966
T8,2005-2-25 5:04:00,-24.4381897,31.74405924
T8,2005-2-25 6:04:00,-24.43948975,31.74539998
T8,2005-2-25 7:04:00,-24.4392395,31.74533081
T8,2005-2-25 8:05:00,-24.43909912,31.74531047
T8,2005-2-25 9:04:00,-24.43935954,31.74860026
T8,2005-2-25 10:04:00,-24.43911947,31.74932048
T8,2005-2-25 11:04:00,-24.43919067,31.74933065
T8,2005-2-25 12:04:00,-24.43907064,31.74934082
T8,2005-2-25 13:04:00,-24.4391805,31.74934082
T8,2005-2-25 14:04:00,-24.43767904,31.74899902
T8,2005-2-25 15:04:00,-24.43803914,31.75100098
T8,2005-2-25 16:04:00,-24.44234009,31.75457967
